License_ID,Customer_ID,Vendor_ID,Product_ID,Number_of_quantities_purchased,Number_of_quantities_activated,Percentage_of_quantities_deployed,Days_since_last_quantity_purchased,Days_since_last_quantity_activated,Avg_gap_in_quantity_purchase,Avg_gap_in_quantity_activated,Direction_Trend_purchased_quantities,Direction_Trend_activated_quantities,Direction_Trend_deployed_quantities,Deployment_Type,Days_since_first_quantity_purchased,Days_since_first_activation,Avg_gap_Purchase_to_Activation,Frequency_of_Product_Purchase,Recency_of_product_purchase,Variants,Subscription_period_derived,Contract_Value,License_Start_Date,License_End_Date,Renewal_Status,Payment_Status,Support_Tickets,Satisfaction_Score,Churn_Risk,Usage_Frequency,Last_Login,Feature_Utilization,Integration_Count,Custom_Configuration,Training_Sessions,Upgrade_History,Downgrade_History,Relative_number_of_products_purchased_from_catalogue,Relative_purchases_qty,Relative_activation_qty,Relative_activation_percentage,Relative_Activated_Variant_percentage,Relative_variant_activation_quantity
L000771,C00099,V0002,P00005,76.0,67.0,52.63157894736842,1287.0,1267.0,193.0,190.0,Downward,Downward,Downward,Production,1480.0,1457.0,,2.0,1287.0,V3,90.0,64752.0,2020-12-12,2021-07-23,Cancelled,Paid,4.0,9.0,High,Daily,2023-12-18,37.0,,False,3.0,2.0,1.0,9.854014598540147,1.900950475237619,1.9964243146603098,88.1578947368421,20.0,1.9964243146603098
L000772,C00099,V0023,P00117,133.0,125.0,74.43609022556392,1008.0,989.0,203.0,201.0,Downward,Downward,Downward,Development,1414.0,1391.0,22.666666666666668,3.0,1008.0,"V4,V2,V2",365.0,111055.0,,2022-06-27,Expired,Overdue,8.0,9.0,Medium,Monthly,2023-12-13,32.0,0.0,True,2.0,3.0,0.0,9.854014598540147,3.326663331665833,3.7246722288438616,93.98496240601504,60.0,3.7246722288438616
L000773,C00099,V0023,P00118,279.0,247.0,62.365591397849464,-748.0,-763.0,195.75,,Downward,Downward,Downward,Production,35.0,20.0,14.8,5.0,-748.0,"V1,V1,V1",30.0,150660.0,2024-11-26,2027-02-17,Expired,Paid,7.0,10.0,Low,Weekly,2024-12-31 00:00:00,92.0,1.0,False,2.0,1.0,0.0,9.854014598540147,6.9784892446223115,7.35995232419547,88.5304659498208,60.0,7.35995232419547
L000774,C00099,V0017,P00087,170.0,137.0,65.88235294117646,386.0,381.0,201.5,190.5,,Upward,Upward,Production,789.0,762.0,18.0,3.0,386.0,V2,730.0,13600.0,2022-11-03,2024-03-10,Active,Overdue,6.0,9.0,Medium,Weekly,2024-12-11,63.0,3.0,False,3.0,0.0,1.0,9.854014598540147,4.252126063031516,4.082240762812873,80.58823529411765,20.0,4.082240762812873
L000775,C00099,V0006,P00030,60.0,49.0,61.66666666666667,236.0,214.0,172.0,193.0,Upward,Downward,Downward,Production,408.0,407.0,11.5,2.0,236.0,"V4,V4,V1",730.0,1680.0,2023-11-19,2025-05-09,Active,Paid,4.0,8.0,Medium,Weekly,2024-08-17,24.0,0.0,,2.0,2.0,1.0,9.854014598540147,1.500750375187594,1.4600715137067939,81.66666666666667,60.0,1.4600715137067939
L000776,C00099,V0006,P00029,110.0,88.0,56.36363636363636,-207.0,-235.0,343.0,349.0,Downward,Downward,Downward,Production,136.0,114.0,25.0,2.0,-207.0,"V3,V1,V3,V2",365.0,92950.0,2024-08-17,2027-07-26,Cancelled,Overdue,7.0,7.0,High,Daily,2024-12-31 00:00:00,57.0,5.0,True,1.0,1.0,0.0,9.854014598540147,2.751375687843922,2.622169249106079,80.0,80.0,2.622169249106079
L000777,C00099,V0043,P00233,245.0,228.0,66.93877551020408,219.0,215.0,165.0,165.75,Downward,Downward,Downward,Production,879.0,878.0,9.6,5.0,219.0,,365.0,118090.0,2022-08-05,2024-06-25,Cancelled,Overdue,10.0,10.0,Low,Monthly,2024-08-01,46.0,1.0,False,1.0,0.0,1.0,9.854014598540147,6.128064032016009,6.793802145411204,93.06122448979592,40.0,6.793802145411204
L000778,C00099,V0043,P00234,,128.0,69.56521739130434,108.0,88.0,184.0,179.0,Downward,Downward,Downward,Production,292.0,267.0,22.5,2.0,108.0,V1,730.0,135240.0,2024-03-14,2024-12-13,Active,Pending,7.0,5.0,High,Weekly,2024-12-16,31.0,3.0,True,2.0,1.0,1.0,9.854014598540147,4.027013506753377,3.814064362336114,79.5031055900621,20.0,3.814064362336114
L000779,,V0032,P00156,148.0,125.0,42.567567567567565,1005.0,1000.0,124.5,122.5,Downward,Upward,Downward,Production,1254.0,1245.0,4.666666666666667,3.0,1005.0,"V1,V4,V2,V1",90.0,105376.0,2021-07-26,2023-04-01,Cancelled,Pending,9.0,8.0,High,Monthly,2023-05-27,94.0,1.0,True,1.0,1.0,0.0,2.9197080291970803,17.370892018779344,18.063583815028903,84.45945945945947,80.0,18.063583815028903
L000780,C00100,V0032,P00158,96.0,84.0,50.0,871.0,856.0,187.0,,Upward,Upward,Upward,Production,1058.0,1041.0,16.0,2.0,871.0,"V3,V2",30.0,81600.0,2022-02-07,2022-11-11,Cancelled,Overdue,7.0,10.0,High,Monthly,2022-09-28,35.0,0.0,True,2.0,1.0,1.0,2.9197080291970803,11.267605633802818,12.138728323699421,87.5,40.0,12.138728323699421
L000781,C00100,V0043,P00234,5.0,3.0,40.0,365.0,337.0,0.0,0.0,Flat,Flat,Flat,Production,365.0,337.0,28.0,1.0,365.0,V1,730.0,4200.0,2024-01-01,2024-01-31,Expired,Pending,1.0,8.0,Low,Monthly,2024-06-06,65.0,5.0,True,3.0,1.0,0.0,2.9197080291970803,0.5868544600938966,0.4335260115606936,60.0,20.0,0.4335260115606936
L000782,C00100,V0043,P00233,209.0,165.0,58.85167464114832,1097.0,1071.0,198.0,203.0,Upward,Upward,Upward,Production,1691.0,1680.0,15.25,4.0,1097.0,V4,730.0,100738.0,2020-05-15,,Active,Paid,7.0,2.0,Low,Monthly,2023-11-03,73.0,3.0,True,2.0,0.0,0.0,2.9197080291970803,24.53051643192488,23.843930635838152,78.94736842105263,20.0,23.843930635838152
L000783,C00100,V0035,,51.0,37.0,47.05882352941176,1035.0,1030.0,343.0,346.0,Upward,Upward,Upward,Test,1378.0,1376.0,3.5,2.0,1035.0,V5,90.0,7395.0,2021-03-24,2023-03-02,Cancelled,Pending,0.0,4.0,Low,Monthly,2024-11-04,23.0,4.0,True,1.0,3.0,1.0,2.9197080291970803,5.985915492957746,5.346820809248555,72.54901960784314,20.0,5.346820809248555
L000784,C00100,V0019,P00096,95.0,73.0,56.84210526315789,40.0,12.0,114.0,130.0,Upward,Upward,Upward,Development,154.0,142.0,20.0,2.0,40.0,"V4,V5,V4,V2",1095.0,69255.0,2024-07-30,2025-02-19,Active,Pending,8.0,1.0,Low,Daily,2024-12-23,52.0,2.0,True,0.0,1.0,1.0,2.9197080291970803,11.150234741784038,10.54913294797688,76.84210526315789,80.0,10.54913294797688
L000785,C00100,V0041,P00227,119.0,97.0,56.30252100840336,-388.0,-406.0,301.0,304.5,Downward,Downward,Downward,Test,214.0,203.0,12.333333333333334,3.0,-388.0,V3,365.0,29155.0,2024-05-31,2028-01-23,Expired,Overdue,1.0,10.0,High,Monthly,2024-12-31 00:00:00,75.0,1.0,False,0.0,1.0,0.0,2.9197080291970803,,14.017341040462428,81.5126050420168,20.0,14.017341040462428
L000786,C00100,V0041,P00225,129.0,108.0,54.263565891472865,-76.0,-79.0,144.5,144.5,Upward,Upward,Upward,Production,213.0,210.0,11.333333333333334,3.0,-76.0,V1,365.0,57147.0,2024-06-01,2026-03-17,Active,Paid,9.0,1.0,Medium,Monthly,2024-12-31 00:00:00,43.0,1.0,True,2.0,3.0,0.0,2.9197080291970803,15.140845070422534,15.606936416184972,,20.0,15.606936416184972
L000787,C00101,V0007,P00031,343.0,294.0,67.3469387755102,-402.0,-408.0,203.33333333333334,204.33333333333334,Upward,Downward,Upward,Production,,205.0,14.75,4.0,-402.0,V1,365.0,234612.0,,2027-02-06,Expired,Overdue,9.0,3.0,High,Weekly,2024-12-31 00:00:00,100.0,1.0,False,1.0,2.0,,1.4598540145985401,46.476964769647694,47.04,85.71428571428571,20.0,47.04
L000788,C00101,V0007,P00033,258.0,203.0,55.81395348837209,-58.0,-64.0,194.66666666666666,193.33333333333334,Downward,Downward,Downward,Development,526.0,516.0,14.5,4.0,-58.0,V2,30.0,68886.0,2023-07-24,2026-02-27,Cancelled,Pending,0.0,8.0,Medium,Daily,2024-12-31 00:00:00,68.0,5.0,False,2.0,1.0,1.0,1.4598540145985401,34.959349593495936,32.48,78.68217054263566,20.0,32.48
L000789,C00101,V0007,P00034,11.0,9.0,45.45454545454545,1584.0,1562.0,0.0,0.0,Flat,Flat,Flat,Development,1584.0,1562.0,22.0,1.0,1584.0,V4,30.0,3993.0,2020-08-30,2023-08-30,Active,Overdue,4.0,4.0,High,Monthly,2021-10-04,44.0,5.0,False,1.0,1.0,1.0,1.4598540145985401,1.4905149051490514,1.44,81.81818181818183,20.0,1.44
L000790,C00101,V0009,,126.0,119.0,66.66666666666666,425.0,410.0,92.0,99.0,Downward,Downward,Downward,Test,517.0,509.0,11.5,2.0,425.0,V2,,2646.0,2023-08-02,2023-12-02,Cancelled,Pending,7.0,9.0,Medium,Monthly,2024-08-17,78.0,3.0,True,0.0,0.0,0.0,1.4598540145985401,17.073170731707318,19.040000000000003,94.44444444444444,20.0,19.040000000000003
L000791,C00102,V0002,P00007,72.0,72.0,88.88888888888889,520.0,492.0,0.0,0.0,Flat,Flat,Flat,Production,520.0,492.0,28.0,1.0,520.0,"V4,V4",365.0,19872.0,2023-07-30,2024-07-29,Active,Pending,0.0,5.0,High,Weekly,2024-12-26,44.0,2.0,True,0.0,1.0,0.0,0.7299270072992701,40.67796610169492,43.11377245508982,100.0,40.0,43.11377245508982
L000792,C00102,V0044,P00239,105.0,95.0,63.8095238095238,866.0,860.0,250.0,232.0,Downward,Downward,Downward,Production,1116.0,1092.0,15.0,2.0,866.0,V1,730.0,11340.0,2021-12-11,2023-08-18,Expired,Pending,1.0,8.0,Low,,2022-10-27,88.0,5.0,False,3.0,2.0,0.0,0.7299270072992701,59.32203389830508,56.886227544910184,90.47619047619048,20.0,56.886227544910184
L000793,C00103,V0045,P00252,199.0,172.0,61.30653266331658,-1047.0,-1060.0,296.75,296.75,Downward,Downward,Downward,Production,140.0,127.0,,5.0,-1047.0,V2,90.0,169548.0,2024-08-13,2028-02-11,Active,Pending,8.0,9.0,Medium,Monthly,2024-12-31 00:00:00,62.0,0.0,True,,3.0,1.0,0.36496350364963503,100.0,100.0,86.4321608040201,20.0,100.0
L000794,C00104,V0028,P00141,86.0,86.0,80.23255813953489,1739.0,1716.0,0.0,0.0,Flat,Flat,Flat,Production,1739.0,1716.0,23.0,1.0,1739.0,"V2,V1",730.0,19952.0,2020-03-28,2021-03-28,Cancelled,Pending,3.0,3.0,Low,Monthly,2020-11-21,39.0,4.0,True,3.0,1.0,0.0,0.36496350364963503,,100.0,100.0,40.0,100.0
L000795,C00105,V0004,P00022,86.0,80.0,65.11627906976744,506.0,494.0,256.5,251.5,Upward,Upward,Upward,Production,1019.0,997.0,13.333333333333334,3.0,506.0,"V2,V1,V5,V2,V3",365.0,76110.0,2022-03-18,2024-08-12,Active,Overdue,8.0,1.0,Medium,Weekly,2024-03-30,,5.0,False,1.0,1.0,1.0,3.2846715328467155,6.245461147421931,7.079646017699115,93.02325581395348,100.0,7.079646017699115
L000796,,V0004,P00023,72.0,56.0,55.55555555555556,-61.0,-88.0,363.0,387.0,,Upward,Upward,,302.0,299.0,15.0,2.0,-61.0,"V2,V5,V1,V5",365.0,64368.0,2024-03-04,2025-05-31,Cancelled,Pending,1.0,3.0,Low,Weekly,2024-12-31 00:00:00,91.0,3.0,True,0.0,0.0,0.0,3.2846715328467155,5.228758169934641,4.95575221238938,77.77777777777779,80.0,4.95575221238938
L000797,C00105,V0049,P00269,162.0,132.0,60.49382716049383,561.0,539.0,158.33333333333334,162.33333333333334,Upward,Upward,Upward,Production,1036.0,1026.0,14.0,4.0,561.0,V1,365.0,48924.0,2022-03-01,2024-06-18,Active,Pending,3.0,9.0,Medium,Daily,2024-11-04,68.0,5.0,True,1.0,0.0,1.0,3.2846715328467155,11.76470588235294,11.68141592920354,81.48148148148148,20.0,11.68141592920354
L000798,C00105,V0045,P00252,197.0,147.0,48.223350253807105,-557.0,-561.0,157.0,152.25,Downward,Downward,Downward,Production,71.0,48.0,11.0,5.0,-557.0,"V1,V1,V4,V1,V1",730.0,167844.0,2024-10-21,2028-07-10,,Overdue,4.0,2.0,Medium,Monthly,,98.0,0.0,True,0.0,1.0,1.0,3.2846715328467155,14.306463326071169,13.008849557522122,74.61928934010153,100.0,13.008849557522122
L000799,C00105,V0045,P00251,8.0,6.0,50.0,1343.0,1340.0,0.0,0.0,Flat,Flat,Flat,Production,1343.0,1340.0,3.0,1.0,1343.0,V5,365.0,3792.0,2021-04-28,2023-04-28,Active,Pending,1.0,10.0,Low,Monthly,2024-09-25,73.0,5.0,True,0.0,2.0,1.0,3.2846715328467155,0.5809731299927379,0.5309734513274336,75.0,20.0,0.5309734513274336
L000800,C00105,V0029,P00143,210.0,192.0,59.04761904761905,1531.0,1525.0,132.0,133.0,Downward,Downward,Downward,Production,1795.0,1791.0,11.666666666666666,3.0,1531.0,V2,365.0,88620.0,2020-02-01,2020-11-21,Expired,Overdue,0.0,3.0,Medium,Weekly,2021-01-17,49.0,4.0,False,0.0,3.0,0.0,3.2846715328467155,15.250544662309368,16.991150442477874,91.42857142857143,20.0,16.991150442477874
L000801,C00105,V0018,P00094,204.0,185.0,75.0,-11.0,-34.0,229.66666666666666,233.0,Upward,Upward,Upward,Production,678.0,665.0,11.75,4.0,-11.0,"V3,V2",730.0,23868.0,2023-02-22,2025-04-11,Expired,Pending,8.0,4.0,Medium,Daily,2024-12-31 00:00:00,23.0,5.0,True,2.0,0.0,0.0,3.2846715328467155,14.814814814814813,16.371681415929203,90.68627450980392,40.0,16.371681415929203
L000802,C00105,V0044,P00250,177.0,132.0,49.717514124293785,157.0,146.0,268.0,269.0,Upward,Upward,Upward,Production,693.0,684.0,10.0,3.0,157.0,V2,365.0,45135.0,2023-02-07,2026-07-27,Expired,Overdue,7.0,2.0,Low,Weekly,2024-10-28,52.0,0.0,True,2.0,2.0,1.0,3.2846715328467155,12.854030501089325,11.68141592920354,74.57627118644068,20.0,11.68141592920354
L000803,C00105,V0044,P00244,261.0,200.0,54.406130268199234,887.0,884.0,152.0,152.33333333333334,Downward,Downward,Downward,Development,1343.0,1341.0,6.0,4.0,887.0,V1,365.0,152946.0,2021-04-28,2024-07-27,Active,Paid,2.0,1.0,High,Weekly,2024-12-29,43.0,0.0,True,1.0,2.0,0.0,3.2846715328467155,18.954248366013072,17.699115044247787,76.62835249042146,20.0,17.699115044247787
L000804,C00106,V0023,P00115,220.0,186.0,58.63636363636363,-661.0,-680.0,242.66666666666666,243.66666666666666,Downward,Downward,Upward,Production,67.0,51.0,16.25,4.0,-661.0,"V1,V2",365.0,121880.0,2024-10-25,2026-11-22,Active,Pending,0.0,4.0,Low,Monthly,2024-12-31 00:00:00,98.0,4.0,True,3.0,1.0,1.0,2.5547445255474455,22.22222222222222,21.830985915492956,84.54545454545455,40.0,21.830985915492956
L000805,C00106,V0023,P00116,73.0,49.0,57.534246575342465,1204.0,1184.0,0.0,0.0,Flat,Flat,Flat,Production,1204.0,,20.0,1.0,1204.0,"V1,V2",365.0,16206.0,2021-09-14,2022-09-14,Cancelled,Pending,7.0,1.0,Medium,Weekly,2023-02-21,67.0,4.0,True,1.0,1.0,0.0,2.5547445255474455,7.373737373737374,5.751173708920188,67.12328767123287,40.0,5.751173708920188
L000806,C00106,V0012,P00062,140.0,111.0,56.42857142857143,667.0,653.0,228.0,230.0,Downward,Downward,Downward,Production,1351.0,1343.0,14.75,4.0,667.0,V4,1095.0,82040.0,2021-04-20,2025-03-04,Cancelled,Paid,3.0,3.0,High,Weekly,2024-02-22,69.0,4.0,True,1.0,2.0,0.0,2.5547445255474455,14.14141414141414,13.028169014084506,79.28571428571428,20.0,13.028169014084506
L000807,C00106,V0010,P00056,167.0,156.0,62.874251497005986,690.0,678.0,341.0,340.0,Upward,Upward,Upward,Production,1713.0,1698.0,13.25,4.0,690.0,"V3,V1,V3,V1,V1",365.0,46092.0,2020-04-23,2025-02-09,Active,Paid,0.0,3.0,High,Monthly,2023-10-04,81.0,0.0,False,1.0,2.0,0.0,2.5547445255474455,16.86868686868687,18.30985915492958,93.41317365269461,100.0,18.30985915492958
L000808,C00106,V0010,P00054,81.0,76.0,62.96296296296296,1242.0,1223.0,0.0,0.0,Flat,Flat,Flat,Development,,1223.0,19.0,1.0,1242.0,"V4,V4,V2,V5",365.0,4455.0,2021-08-07,2022-08-07,Cancelled,Paid,1.0,1.0,Low,,2024-03-25,51.0,4.0,True,3.0,3.0,0.0,2.5547445255474455,8.181818181818182,8.92018779342723,93.82716049382715,80.0,8.92018779342723
L000809,C00106,V0008,P00038,213.0,184.0,61.97183098591549,726.0,718.0,172.5,172.75,Upward,Upward,Upward,Production,1416.0,1409.0,14.2,5.0,726.0,V4,365.0,35358.0,2021-02-14,2024-01-05,Expired,Overdue,2.0,5.0,Medium,Monthly,2023-09-21,61.0,2.0,True,3.0,3.0,0.0,2.5547445255474455,21.515151515151516,21.5962441314554,86.3849765258216,20.0,21.5962441314554
L000810,C00106,V0044,P00243,96.0,90.0,,1399.0,1395.0,228.0,208.0,Upward,Upward,,Production,1627.0,1603.0,14.0,2.0,1399.0,"V3,V1,V1",1095.0,47520.0,2020-07-18,2021-06-01,Cancelled,Pending,9.0,3.0,Medium,Weekly,2022-02-24,67.0,0.0,True,0.0,,0.0,2.5547445255474455,9.696969696969697,10.56338028169014,93.75,,10.56338028169014
L000811,C00107,V0049,P00268,182.0,146.0,58.791208791208796,662.0,633.0,237.0,251.5,Downward,Downward,Flat,Production,1136.0,1136.0,11.0,3.0,662.0,"V1,V1",90.0,119028.0,2021-11-21,2025-03-09,Cancelled,Pending,7.0,10.0,Medium,Weekly,2024-12-14,86.0,4.0,False,1.0,3.0,1.0,1.824817518248175,19.633225458468175,18.741976893453145,80.21978021978022,40.0,18.741976893453145
L000812,C00107,V0017,P00087,237.0,204.0,64.13502109704642,,,136.66666666666666,131.66666666666666,Downward,Downward,Downward,Test,1753.0,1723.0,19.0,4.0,1343.0,"V1,V1",365.0,18960.0,2020-03-14,2022-04-28,Active,Paid,8.0,6.0,Low,Monthly,2021-12-15,87.0,1.0,False,1.0,0.0,0.0,1.824817518248175,25.5663430420712,26.187419768934532,86.07594936708861,40.0,26.187419768934532
L000813,C00107,V0017,P00089,43.0,37.0,46.51162790697674,347.0,343.0,0.0,,Flat,Flat,Flat,Production,347.0,343.0,4.0,1.0,347.0,"V1,V1,V1",730.0,31691.0,,2026-01-18,Active,Paid,7.0,9.0,High,Weekly,2024-11-14,62.0,3.0,,0.0,2.0,1.0,1.824817518248175,4.638619201725998,4.7496790757381255,86.04651162790698,60.0,4.7496790757381255
L000814,C00107,V0017,P00088,246.0,211.0,65.04065040650406,-142.0,-155.0,211.75,214.75,Downward,Downward,Downward,Production,,704.0,11.2,5.0,-142.0,V3,730.0,91266.0,2023-01-26,2026-05-22,Cancelled,Paid,2.0,3.0,High,Weekly,2024-12-31 00:00:00,100.0,2.0,False,0.0,1.0,0.0,1.824817518248175,26.537216828478964,27.086007702182286,85.77235772357723,20.0,27.086007702182286
L000815,C00107,V0005,P00024,219.0,181.0,65.75342465753424,-54.0,-74.0,340.0,349.0,Upward,Upward,Upward,Production,626.0,624.0,7.666666666666667,3.0,-54.0,"V1,V1",365.0,202575.0,2023-04-15,2027-02-23,Cancelled,Overdue,10.0,1.0,Medium,Weekly,2024-12-31 00:00:00,41.0,4.0,,3.0,3.0,1.0,1.824817518248175,23.624595469255663,23.23491655969191,82.64840182648402,40.0,23.23491655969191
L000816,C00108,V0030,P00147,225.0,172.0,57.333333333333336,26.0,23.0,238.0,229.33333333333334,Upward,Upward,Upward,Production,740.0,711.0,19.5,4.0,26.0,"V1,V3",365.0,73350.0,2022-12-22,2025-12-05,Expired,Paid,3.0,5.0,Low,Monthly,2024-12-22,24.0,3.0,True,2.0,0.0,1.0,2.18978102189781,26.7538644470868,24.055944055944057,76.44444444444444,40.0,24.055944055944057
L000817,C00108,V0030,P00146,38.0,30.0,57.89473684210527,612.0,586.0,291.0,316.0,Upward,Flat,Downward,Production,903.0,902.0,13.5,2.0,612.0,"V3,V1",1095.0,33174.0,2022-07-12,2023-07-28,Active,Paid,3.0,7.0,Low,Daily,2023-07-19,43.0,1.0,True,3.0,3.0,0.0,2.18978102189781,4.5184304399524375,4.195804195804196,78.94736842105263,40.0,4.195804195804196
L000818,C00108,V0030,P00148,172.0,147.0,63.372093023255815,761.0,743.0,199.0,197.0,Downward,Downward,Downward,Production,1557.0,1531.0,14.8,5.0,761.0,"V1,V1",365.0,122636.0,2020-09-26,2024-11-30,Expired,Pending,9.0,2.0,Low,Weekly,2023-05-14,58.0,3.0,True,0.0,2.0,0.0,2.18978102189781,20.451843043995243,20.55944055944056,85.46511627906976,40.0,20.55944055944056
L000819,C00108,V0041,P00226,53.0,48.0,73.58490566037736,1362.0,1332.0,111.0,115.0,Downward,Downward,Downward,Production,1473.0,1447.0,28.0,2.0,1362.0,V1,365.0,43036.0,2020-12-19,2022-04-09,Active,Paid,10.0,9.0,Low,Weekly,2024-04-09,73.0,4.0,True,2.0,3.0,0.0,2.18978102189781,6.302021403091558,6.713286713286713,90.56603773584906,20.0,6.713286713286713
L000820,C00108,V0041,P00227,188.0,166.0,61.170212765957444,-375.0,-400.0,247.75,252.75,Upward,Upward,Upward,Production,616.0,611.0,18.6,5.0,-375.0,,30.0,46060.0,2023-04-25,2027-01-10,Expired,Overdue,0.0,7.0,Low,Monthly,2024-12-31 00:00:00,53.0,5.0,True,2.0,3.0,1.0,2.18978102189781,22.35434007134364,23.216783216783217,88.29787234042553,20.0,23.216783216783217
L000821,C00108,V0041,P00228,165.0,152.0,77.57575757575758,580.0,565.0,207.5,201.0,Upward,Upward,Upward,Production,995.0,967.0,20.333333333333332,3.0,580.0,"V2,V1",730.0,161535.0,2022-04-11,2023-08-29,Cancelled,Paid,7.0,4.0,High,Weekly,2024-03-07,30.0,1.0,False,0.0,2.0,0.0,2.18978102189781,19.61950059453032,21.25874125874126,92.12121212121212,40.0,21.25874125874126
L000822,C00109,V0032,P00157,42.0,39.0,73.80952380952381,1516.0,1491.0,0.0,0.0,Flat,Flat,Flat,Production,1516.0,1491.0,25.0,1.0,1516.0,V1,365.0,2646.0,2020-11-06,2020-12-06,Cancelled,Pending,4.0,7.0,Medium,Daily,2023-01-26,79.0,4.0,True,3.0,2.0,0.0,1.4598540145985401,9.58904109589041,9.653465346534654,92.85714285714286,20.0,9.653465346534654
L000823,C00109,V0038,P00207,50.0,46.0,72.0,918.0,918.0,51.0,50.0,Upward,Upward,Upward,Production,969.0,968.0,0.5,2.0,918.0,V1,365.0,17550.0,2022-05-07,2023-06-27,Cancelled,Overdue,1.0,6.0,High,Weekly,2022-10-02,36.0,5.0,False,0.0,2.0,1.0,1.4598540145985401,11.415525114155251,11.386138613861387,92.0,20.0,11.386138613861387
L000824,C00109,V0038,P00209,270.0,252.0,64.07407407407408,280.0,268.0,307.5,,Downward,Downward,Downward,Production,1510.0,1488.0,16.8,5.0,280.0,"V2,V2",730.0,79110.0,2020-11-12,2025-03-26,Cancelled,Paid,8.0,3.0,High,Daily,2024-09-03,36.0,5.0,True,0.0,1.0,0.0,1.4598540145985401,61.64383561643836,62.37623762376238,93.33333333333333,40.0,62.37623762376238
L000825,C00109,,P00208,76.0,67.0,65.78947368421053,63.0,49.0,46.0,51.0,Upward,Upward,Flat,Production,109.0,100.0,11.5,2.0,63.0,"V2,V2",90.0,49856.0,2024-09-13,2025-01-27,Expired,Pending,5.0,8.0,High,Daily,2024-12-12,87.0,5.0,False,0.0,0.0,1.0,1.4598540145985401,17.35159817351598,16.584158415841586,88.1578947368421,40.0,16.584158415841586
L000826,C00110,V0025,P00123,93.0,73.0,58.06451612903226,532.0,505.0,180.5,182.0,Downward,Downward,Downward,Development,893.0,869.0,26.333333333333332,3.0,532.0,"V5,V2,V4,V2",90.0,61008.0,2022-07-22,,Active,Paid,8.0,6.0,Medium,Daily,2024-07-07,23.0,2.0,False,1.0,2.0,0.0,1.824817518248175,16.90909090909091,15.336134453781513,78.49462365591397,80.0,15.336134453781513
L000827,C00110,V0025,P00124,89.0,83.0,73.03370786516854,1675.0,1675.0,0.0,0.0,Flat,Flat,Flat,Test,1675.0,1675.0,0.0,1.0,1675.0,V2,365.0,55981.0,2020-05-31,2020-08-29,Active,Paid,0.0,2.0,Medium,Monthly,2021-04-10,93.0,4.0,False,0.0,2.0,0.0,1.824817518248175,16.18181818181818,17.436974789915965,93.25842696629213,20.0,17.436974789915965
L000828,C00110,V0026,P00133,39.0,33.0,48.717948717948715,1345.0,1332.0,0.0,0.0,Flat,Flat,Flat,Development,1345.0,1332.0,13.0,1.0,1345.0,"V2,V5,V2,V4",365.0,3705.0,2021-04-26,2021-05-26,Active,Overdue,9.0,9.0,,Weekly,2021-05-31,52.0,4.0,False,3.0,0.0,1.0,1.824817518248175,7.090909090909091,6.932773109243698,84.61538461538461,80.0,6.932773109243698
L000829,C00110,V0026,P00131,54.0,42.0,51.85185185185185,1228.0,1227.0,0.0,0.0,Flat,Flat,Flat,Production,1228.0,1227.0,1.0,1.0,1228.0,"V3,V3,V1",365.0,10638.0,2021-08-21,2021-11-19,Cancelled,Overdue,3.0,4.0,High,Weekly,2024-06-13,63.0,4.0,False,1.0,3.0,1.0,1.824817518248175,9.818181818181818,8.823529411764707,,60.0,8.823529411764707
L000830,C00110,V0026,P00128,275.0,245.0,61.81818181818181,-263.0,-286.0,173.66666666666666,180.66666666666666,Upward,Upward,Upward,Test,258.0,,7.5,4.0,-263.0,V2,90.0,111925.0,2024-04-17,,Cancelled,Overdue,9.0,5.0,Low,Monthly,,29.0,5.0,False,3.0,3.0,1.0,1.824817518248175,50.0,51.470588235294116,89.0909090909091,20.0,51.470588235294116
L000831,C00111,V0018,P00092,162.0,124.0,60.49382716049383,225.0,219.0,193.0,182.5,Downward,Downward,Downward,Production,611.0,584.0,13.0,,225.0,"V1,V3,V2",365.0,50220.0,2023-04-30,2025-05-20,Cancelled,Overdue,1.0,10.0,Low,Monthly,2024-08-27,76.0,5.0,False,3.0,3.0,1.0,1.824817518248175,21.456953642384104,20.70116861435726,76.5432098765432,60.0,20.70116861435726
L000832,C00111,V0018,P00091,97.0,,60.824742268041234,1372.0,1347.0,0.0,0.0,Flat,Flat,Flat,Test,1372.0,1347.0,25.0,1.0,1372.0,V3,365.0,33368.0,2021-03-30,2021-04-29,Cancelled,Overdue,10.0,7.0,Low,Weekly,2024-10-29,36.0,1.0,False,2.0,0.0,0.0,1.824817518248175,12.847682119205297,13.18864774624374,81.44329896907216,20.0,13.18864774624374
L000833,C00111,V0012,P00065,200.0,157.0,62.5,1043.0,1038.0,137.0,129.5,Upward,Downward,Upward,Production,1317.0,1297.0,17.666666666666668,3.0,1043.0,"V1,V1",365.0,185400.0,2021-05-24,2023-02-22,Cancelled,Pending,4.0,2.0,Medium,Weekly,2024-11-10,42.0,4.0,True,2.0,2.0,0.0,1.824817518248175,26.490066225165563,26.21035058430718,78.5,40.0,26.21035058430718
